entity_id,repo_name,component_path,service_tier,programming_language,domain,archetype,lines_of_code,cyclomatic_complexity,cognitive_complexity,code_smells_count,code_duplication_pct,security_hotspots_count,dependency_count,outdated_dependencies_pct,churn_lines_last_30d,commits_last_90d,distinct_authors_last_90d,ownership_entropy,avg_pr_review_time_hrs,pr_rework_rate,unit_test_coverage_pct,ci_build_failure_rate,defects_reported_last_90d,production_incidents_last_180d,mttr_incident_mins,sprint_velocity_drag_pct,monthly_maintenance_hours
TD-00032,auth-service,auth-service/pkg/handler/state_machine_4.go,Tier_1,Go,Security/IAM,dormant_legacy,772,31,41,51,25.14,0,21,40.04,11,0,0,0.331,22.5,0.104,37.54,0.073,0,0,96,14.3,8.6
TD-00033,order-management,order-management/src/main/java/com/platform/controller/exporter_14.java,Tier_1,Java,Core Business,legacy_hotspot,1851,100,125,30,38.0,3,20,82.76,721,46,4,0.719,29.8,0.323,23.82,0.238,8,4,169,51.7,32.7
TD-00034,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/service/router_13.java,Tier_3,Java,Reporting,healthy_active,548,5,5,0,2.71,0,11,3.87,625,25,4,0.529,11.4,0.102,86.97,0.015,0,0,36,4.0,6.0
TD-00035,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/util/client_pool_9.java,Tier_3,Java,Reporting,dormant_legacy,1046,142,179,22,18.13,0,15,29.22,37,2,1,0.153,37.6,0.194,36.36,0.143,0,1,83,6.8,6.8
TD-00036,internal-admin-portal,internal-admin-portal/src/pages/admin/query_builder_4.tsx,Tier_3,TypeScript,Backoffice,average,445,22,27,5,11.48,0,14,11.88,244,14,2,0.386,31.7,0.192,65.84,0.073,1,0,105,20.8,7.9
TD-00037,internal-admin-portal,internal-admin-portal/src/hooks/exporter_11.tsx,Tier_3,TypeScript,Backoffice,healthy_active,692,10,10,0,3.29,0,8,9.56,1098,62,3,0.435,18.0,0.076,86.52,0.032,0,0,26,0.9,4.0
TD-00038,auth-service,auth-service/pkg/storage/router_6.go,Tier_1,Go,Security/IAM,healthy_active,503,9,8,2,2.8,0,4,13.27,410,20,2,0.415,13.3,0.094,87.36,0.04,1,0,22,3.7,7.9
TD-00039,analytics-etl,analytics-etl/services/core/cache_adapter_9.py,Tier_3,Python,Data/BI,legacy_hotspot,2522,198,284,35,24.11,1,10,39.33,1180,48,17,0.844,46.9,0.614,5.53,0.151,6,7,211,33.1,70.7
TD-00040,internal-admin-portal,internal-admin-portal/src/components/forms/client_pool_4.tsx,Tier_3,TypeScript,Backoffice,legacy_hotspot,2329,82,137,28,33.5,1,36,48.77,1618,47,9,0.856,78.9,0.264,34.43,0.361,6,1,181,36.5,76.2
TD-00041,inventory-worker,inventory-worker/tasks/workers/rule_engine_7.py,Tier_2,Python,Supply Chain,legacy_hotspot,3642,86,108,36,47.69,0,22,53.84,2023,74,14,0.935,77.9,0.459,33.52,0.189,4,2,118,55.9,77.9
TD-00042,order-management,order-management/src/main/java/com/platform/repository/exporter_6.java,Tier_1,Java,Core Business,average,911,13,17,15,4.08,0,19,18.16,227,12,4,0.432,12.2,0.195,48.85,0.074,0,0,62,10.5,16.6
TD-00043,internal-admin-portal,internal-admin-portal/src/pages/admin/rule_engine_11.tsx,Tier_3,TypeScript,Backoffice,legacy_hotspot,3123,69,85,105,25.81,0,10,44.42,1006,85,17,0.805,92.2,0.291,33.04,0.268,7,2,208,50.6,75.0
TD-00044,analytics-etl,analytics-etl/services/core/validator_12.py,Tier_3,Python,Data/BI,dormant_legacy,2376,39,54,34,19.32,0,18,30.19,95,0,1,0.103,37.5,0.244,21.49,0.08,0,0,15,12.9,4.5
TD-00045,inventory-worker,inventory-worker/handlers/api/processor_8.py,Tier_2,Python,Supply Chain,healthy_active,602,4,4,2,4.92,0,3,0.17,530,31,4,0.478,16.0,0.098,78.71,0.044,0,0,34,4.9,5.9
TD-00046,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/service/validator_16.java,Tier_3,Java,Reporting,legacy_hotspot,2852,44,53,43,32.43,2,27,74.29,1009,74,14,0.66,91.7,0.271,22.4,0.319,7,5,165,50.6,29.5
TD-00047,auth-service,auth-service/internal/middleware/exporter_5.go,Tier_1,Go,Security/IAM,healthy_active,403,4,3,2,1.14,0,10,14.62,318,51,2,0.536,6.4,0.116,85.49,0.069,0,0,43,4.0,4.8
TD-00048,order-management,order-management/src/main/java/com/platform/util/client_pool_6.java,Tier_1,Java,Core Business,healthy_active,500,17,19,5,3.28,0,5,8.89,478,51,2,0.253,14.0,0.111,81.23,0.027,1,0,22,6.8,4.4
TD-00049,inventory-worker,inventory-worker/tasks/workers/state_machine_20.py,Tier_2,Python,Supply Chain,healthy_active,435,4,3,0,1.96,0,11,5.99,1282,75,4,0.553,10.2,0.053,86.08,0.057,0,0,56,7.6,2.8
TD-00050,search-indexer,search-indexer/src/main/scala/engine/parser_18.scala,Tier_2,Scala,Search/Discovery,dormant_legacy,835,81,111,43,20.96,0,18,22.85,29,3,1,0.014,15.4,0.14,47.69,0.061,0,0,94,16.3,6.5
TD-00051,user-profile-api,user-profile-api/models/data/router_12.py,Tier_2,Python,User Management,healthy_active,342,15,14,1,1.01,0,9,2.44,708,31,7,0.302,13.3,0.118,84.74,0.011,0,0,39,6.6,7.1
TD-00052,analytics-etl,analytics-etl/tasks/workers/legacy_sync_4.py,Tier_3,Python,Data/BI,average,929,26,32,8,12.0,0,19,26.45,240,13,2,0.498,29.7,0.203,57.12,0.079,4,1,76,9.7,13.6
TD-00053,user-profile-api,user-profile-api/handlers/api/validator_11.py,Tier_2,Python,User Management,dormant_legacy,833,41,46,12,24.04,1,18,45.02,52,3,0,0.285,15.0,0.08,33.43,0.052,0,0,91,12.1,9.5
TD-00054,payment-gateway,payment-gateway/internal/middleware/client_pool_8.go,Tier_1,Go,Fintech/Checkout,healthy_active,1152,7,8,0,3.27,0,5,0.9,526,51,6,0.314,8.3,0.1,87.7,0.032,0,0,25,3.3,1.9
TD-00055,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/controller/processor_3.java,Tier_3,Java,Reporting,healthy_active,546,10,11,4,1.28,0,6,6.37,284,34,4,0.201,12.9,0.072,88.68,0.066,0,0,46,1.4,3.5
TD-00056,payment-gateway,payment-gateway/internal/service/validator_2.go,Tier_1,Go,Fintech/Checkout,dormant_legacy,1549,67,95,31,11.59,0,9,28.4,52,0,1,0.008,30.0,0.171,34.13,0.05,0,0,102,11.5,11.9
TD-00057,notification-dispatcher,notification-dispatcher/src/routes/client_pool_8.js,Tier_2,Node.js,Communications,healthy_active,359,3,2,3,4.09,0,6,10.87,243,51,2,0.438,9.6,0.057,84.18,0.053,0,0,39,0.6,5.5
TD-00058,inventory-worker,inventory-worker/utils/helpers/aggregator_18.py,Tier_2,Python,Supply Chain,healthy_active,307,8,8,3,3.31,0,3,14.93,829,58,6,0.27,13.7,0.04,87.64,0.017,0,0,17,6.0,3.4
TD-00059,order-management,order-management/src/main/java/com/platform/util/aggregator_16.java,Tier_1,Java,Core Business,dormant_legacy,1740,53,69,36,10.14,1,5,50.42,10,3,0,0.08,21.6,0.126,27.12,0.051,0,0,90,8.6,11.4
TD-00060,search-indexer,search-indexer/src/main/scala/engine/validator_4.scala,Tier_2,Scala,Search/Discovery,dormant_legacy,2265,72,98,9,25.31,0,11,35.23,29,1,0,0.121,39.3,0.178,43.79,0.037,2,0,67,14.9,3.7
TD-00061,search-indexer,search-indexer/src/main/scala/index/router_14.scala,Tier_2,Scala,Search/Discovery,dormant_legacy,1447,53,67,32,20.15,0,10,20.02,34,2,0,0.198,17.4,0.092,31.96,0.118,1,0,83,7.2,2.7
TD-00062,analytics-etl,analytics-etl/services/core/query_builder_4.py,Tier_3,Python,Data/BI,healthy_active,767,6,7,0,1.16,0,14,4.59,742,99,5,0.362,13.2,0.055,87.46,0.044,0,0,39,2.0,1.9
TD-00063,payment-gateway,payment-gateway/pkg/client/cache_adapter_11.go,Tier_1,Go,Fintech/Checkout,average,1632,16,17,8,14.01,0,10,30.04,399,8,2,0.338,25.2,0.144,70.33,0.052,1,0,66,13.3,11.5
TD-00064,auth-service,auth-service/internal/service/aggregator_7.go,Tier_1,Go,Security/IAM,average,643,23,23,4,14.09,0,17,29.53,458,11,3,0.435,22.8,0.112,71.68,0.094,1,1,57,8.5,16.4
TD-00065,internal-admin-portal,internal-admin-portal/src/state/manager_14.tsx,Tier_3,TypeScript,Backoffice,average,367,15,17,6,11.94,0,16,20.3,280,10,5,0.324,22.2,0.092,60.44,0.148,1,1,52,9.0,19.4
TD-00066,order-management,order-management/src/main/java/com/platform/repository/legacy_sync_8.java,Tier_1,Java,Core Business,average,616,13,16,8,15.04,0,21,26.41,197,19,2,0.625,17.4,0.132,57.96,0.093,2,0,74,17.0,10.0
TD-00067,auth-service,auth-service/pkg/client/exporter_18.go,Tier_1,Go,Security/IAM,average,1156,19,24,10,6.17,0,21,23.63,148,10,5,0.315,16.0,0.098,66.78,0.138,0,0,79,15.6,14.3
TD-00068,auth-service,auth-service/pkg/handler/query_builder_18.go,Tier_1,Go,Security/IAM,dormant_legacy,2585,65,91,22,13.92,1,5,33.9,10,3,1,0.23,20.7,0.198,43.53,0.1,1,0,125,15.9,10.3
TD-00069,payment-gateway,payment-gateway/pkg/handler/parser_8.go,Tier_1,Go,Fintech/Checkout,healthy_active,741,17,16,2,4.98,0,6,5.78,991,32,7,0.365,13.7,0.02,89.15,0.035,1,0,41,4.7,4.4
TD-00070,order-management,order-management/src/main/java/com/platform/util/legacy_sync_16.java,Tier_1,Java,Core Business,healthy_active,566,16,16,5,4.02,0,14,12.38,377,41,7,0.593,6.9,0.103,87.37,0.036,0,0,26,3.0,1.4
TD-00071,user-profile-api,user-profile-api/utils/helpers/parser_2.py,Tier_2,Python,User Management,average,588,17,21,14,12.23,1,17,19.6,462,9,2,0.498,35.5,0.103,66.01,0.11,3,0,61,13.3,12.5
TD-00072,order-management,order-management/src/main/java/com/platform/util/processor_13.java,Tier_1,Java,Core Business,healthy_active,559,16,17,1,4.55,0,10,10.94,684,47,5,0.463,17.4,0.027,79.03,0.03,0,0,24,2.0,7.3
TD-00073,inventory-worker,inventory-worker/utils/helpers/dispatcher_14.py,Tier_2,Python,Supply Chain,healthy_active,333,14,13,3,0.17,0,6,9.3,204,56,7,0.56,4.3,0.086,95.34,0.049,1,0,19,5.8,7.9
TD-00074,internal-admin-portal,internal-admin-portal/src/state/manager_7.tsx,Tier_3,TypeScript,Backoffice,healthy_active,596,11,13,3,1.75,0,11,0.33,281,30,2,0.409,5.6,0.106,91.01,0.015,0,0,33,4.3,1.6
TD-00075,inventory-worker,inventory-worker/handlers/api/processor_19.py,Tier_2,Python,Supply Chain,average,699,24,31,15,4.75,0,17,18.9,247,9,5,0.491,30.2,0.186,45.54,0.055,1,0,99,21.3,13.8
TD-00076,internal-admin-portal,internal-admin-portal/src/pages/admin/cache_adapter_11.tsx,Tier_3,TypeScript,Backoffice,legacy_hotspot,4402,65,92,25,26.31,0,14,82.87,1371,39,7,0.741,49.2,0.507,10.66,0.371,7,2,140,37.7,65.3
TD-00077,payment-gateway,payment-gateway/pkg/handler/rule_engine_16.go,Tier_1,Go,Fintech/Checkout,dormant_legacy,1063,80,91,44,23.75,0,9,47.99,104,1,1,0.256,17.2,0.222,43.67,0.09,1,0,96,15.7,6.6
TD-00078,internal-admin-portal,internal-admin-portal/src/components/forms/processor_17.tsx,Tier_3,TypeScript,Backoffice,dormant_legacy,708,71,84,32,16.35,0,15,52.56,7,2,1,0.343,29.8,0.075,38.67,0.062,1,0,127,16.1,4.3
TD-00079,auth-service,auth-service/internal/service/validator_20.go,Tier_1,Go,Security/IAM,healthy_active,742,8,8,4,0.17,0,7,6.12,687,45,5,0.466,7.6,0.111,90.07,0.049,0,0,17,6.9,4.8
TD-00080,auth-service,auth-service/internal/service/router_4.go,Tier_1,Go,Security/IAM,average,774,19,19,9,7.36,1,8,34.32,136,7,2,0.594,35.6,0.167,61.78,0.115,2,0,35,19.5,7.0
TD-00081,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/controller/rule_engine_20.java,Tier_3,Java,Reporting,healthy_active,379,4,4,5,1.7,0,10,2.78,625,55,4,0.307,15.0,0.077,89.86,0.028,0,0,28,3.9,6.2
TD-00082,payment-gateway,payment-gateway/internal/middleware/validator_14.go,Tier_1,Go,Fintech/Checkout,legacy_hotspot,2690,58,75,44,46.13,1,34,67.16,1353,37,16,0.97,45.9,0.359,20.08,0.395,5,1,196,33.4,50.8
TD-00083,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/repository/parser_9.java,Tier_3,Java,Reporting,healthy_active,397,6,5,4,2.69,0,3,0.11,1609,63,7,0.359,4.6,0.048,92.7,0.03,1,0,29,7.0,5.0
TD-00084,user-profile-api,user-profile-api/models/data/aggregator_9.py,Tier_2,Python,User Management,legacy_hotspot,2201,103,139,54,22.68,2,37,74.27,1387,51,17,0.914,73.1,0.287,24.27,0.274,10,1,180,50.9,54.1
TD-00085,search-indexer,search-indexer/src/main/scala/engine/query_builder_10.scala,Tier_2,Scala,Search/Discovery,average,1037,22,26,13,14.92,1,20,18.58,428,13,3,0.596,28.6,0.14,65.19,0.073,1,0,80,20.0,18.8
TD-00086,analytics-etl,analytics-etl/models/data/parser_3.py,Tier_3,Python,Data/BI,dormant_legacy,788,80,110,14,11.42,1,5,67.33,23,1,1,0.133,12.2,0.127,42.71,0.097,0,0,126,12.5,7.6
TD-00087,payment-gateway,payment-gateway/pkg/client/rule_engine_19.go,Tier_1,Go,Fintech/Checkout,legacy_hotspot,2690,97,128,44,23.28,0,30,42.35,1716,84,15,0.83,34.0,0.493,9.15,0.129,8,5,144,42.8,62.3
TD-00088,auth-service,auth-service/pkg/handler/client_pool_7.go,Tier_1,Go,Security/IAM,legacy_hotspot,2260,71,116,59,23.73,2,28,37.08,1111,62,6,0.694,68.3,0.49,16.02,0.248,5,3,119,51.4,52.1
TD-00089,internal-admin-portal,internal-admin-portal/src/hooks/manager_12.tsx,Tier_3,TypeScript,Backoffice,healthy_active,1597,13,13,0,1.81,0,3,12.98,919,66,5,0.523,10.7,0.12,79.07,0.01,0,0,31,2.4,2.7
TD-00090,auth-service,auth-service/internal/service/session_handler_10.go,Tier_1,Go,Security/IAM,average,601,18,18,9,12.25,0,11,23.18,562,13,5,0.557,24.7,0.191,74.72,0.064,1,0,96,8.6,10.8
TD-00091,order-management,order-management/src/main/java/com/platform/util/state_machine_18.java,Tier_1,Java,Core Business,average,897,20,26,7,12.4,0,12,22.19,225,10,4,0.422,14.7,0.193,73.43,0.049,2,0,55,15.0,17.1
TD-00092,inventory-worker,inventory-worker/tasks/workers/exporter_17.py,Tier_2,Python,Supply Chain,healthy_active,540,14,16,2,4.02,0,10,6.08,502,53,2,0.288,4.5,0.041,85.49,0.063,0,0,41,3.6,6.8
TD-00093,payment-gateway,payment-gateway/internal/middleware/dispatcher_4.go,Tier_1,Go,Fintech/Checkout,healthy_active,165,7,7,5,2.82,0,6,2.14,1327,41,3,0.53,14.1,0.047,85.24,0.017,0,0,17,6.3,6.0
TD-00094,order-management,order-management/src/main/java/com/platform/repository/validator_4.java,Tier_1,Java,Core Business,healthy_active,573,14,15,4,4.65,0,11,5.4,827,34,4,0.374,16.7,0.058,95.35,0.016,0,0,15,5.1,5.9
TD-00095,internal-admin-portal,internal-admin-portal/src/components/forms/dispatcher_10.tsx,Tier_3,TypeScript,Backoffice,legacy_hotspot,3631,128,226,30,40.15,2,19,31.29,1922,94,5,0.859,80.4,0.251,33.2,0.172,11,2,146,50.8,78.6
TD-00096,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/controller/cache_adapter_11.java,Tier_3,Java,Reporting,healthy_active,442,13,13,0,4.12,0,8,7.74,832,34,3,0.208,5.7,0.061,86.87,0.038,0,0,34,3.7,7.7
TD-00097,user-profile-api,user-profile-api/models/data/client_pool_16.py,Tier_2,Python,User Management,healthy_active,837,10,9,3,0.63,0,7,1.15,397,27,6,0.337,14.3,0.042,89.55,0.05,0,0,30,5.3,4.8
TD-00098,inventory-worker,inventory-worker/services/core/validator_14.py,Tier_2,Python,Supply Chain,average,1125,19,22,9,5.83,1,18,15.71,234,11,5,0.32,35.0,0.212,68.56,0.159,2,0,37,11.2,8.7
TD-00099,inventory-worker,inventory-worker/services/core/processor_11.py,Tier_2,Python,Supply Chain,healthy_active,322,7,7,3,1.94,0,14,9.64,1045,29,7,0.225,6.1,0.021,89.36,0.041,0,0,35,1.9,4.5
TD-00100,order-management,order-management/src/main/java/com/platform/repository/manager_15.java,Tier_1,Java,Core Business,legacy_hotspot,3492,69,100,26,42.37,5,22,56.63,1194,49,15,0.978,76.4,0.642,23.36,0.193,7,8,173,41.7,64.5
TD-00101,internal-admin-portal,internal-admin-portal/src/state/client_pool_1.tsx,Tier_3,TypeScript,Backoffice,legacy_hotspot,1757,84,101,88,45.34,0,20,27.76,1101,77,9,0.791,30.0,0.442,26.52,0.153,6,3,76,52.6,38.8
TD-00102,auth-service,auth-service/pkg/handler/parser_5.go,Tier_1,Go,Security/IAM,dormant_legacy,950,68,77,11,8.86,0,6,53.98,34,3,0,0.252,27.8,0.136,26.42,0.129,0,0,132,15.7,10.9
TD-00103,internal-admin-portal,internal-admin-portal/src/pages/admin/state_machine_12.tsx,Tier_3,TypeScript,Backoffice,dormant_legacy,1063,35,47,12,19.04,0,12,22.38,14,0,1,0.123,35.1,0.153,31.22,0.026,0,1,118,11.9,7.9
TD-00104,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/controller/router_5.java,Tier_3,Java,Reporting,dormant_legacy,1061,66,84,18,23.38,0,17,41.13,14,1,0,0.249,34.9,0.086,27.98,0.137,3,0,72,12.1,9.1
TD-00105,payment-gateway,payment-gateway/pkg/storage/session_handler_2.go,Tier_1,Go,Fintech/Checkout,average,1041,20,22,7,11.59,0,10,12.56,266,13,4,0.429,34.4,0.196,65.92,0.126,2,0,61,19.3,8.7
TD-00106,notification-dispatcher,notification-dispatcher/src/controllers/query_builder_8.js,Tier_2,Node.js,Communications,dormant_legacy,2022,74,96,14,25.63,0,23,59.11,24,1,1,0.216,35.6,0.07,34.56,0.085,1,0,36,11.3,3.2
TD-00107,auth-service,auth-service/pkg/storage/exporter_18.go,Tier_1,Go,Security/IAM,healthy_active,567,14,13,5,3.36,0,7,1.06,650,42,5,0.275,4.3,0.059,81.45,0.039,1,0,36,7.0,5.2
TD-00108,search-indexer,search-indexer/src/main/scala/pipeline/cache_adapter_5.scala,Tier_2,Scala,Search/Discovery,dormant_legacy,930,55,76,24,26.74,1,24,33.89,21,1,1,0.182,17.0,0.244,18.97,0.072,1,0,39,9.5,6.0
TD-00109,user-profile-api,user-profile-api/handlers/api/exporter_6.py,Tier_2,Python,User Management,dormant_legacy,1134,56,63,25,30.83,0,24,49.95,88,1,1,0.338,19.0,0.185,39.73,0.099,0,0,127,12.8,10.7
TD-00110,search-indexer,search-indexer/src/main/scala/engine/manager_11.scala,Tier_2,Scala,Search/Discovery,healthy_active,609,11,10,0,0.08,0,6,14.04,817,42,7,0.275,13.4,0.118,79.83,0.011,0,0,37,7.3,4.0
TD-00111,search-indexer,search-indexer/src/main/scala/pipeline/state_machine_8.scala,Tier_2,Scala,Search/Discovery,healthy_active,1119,12,13,4,0.46,0,3,12.28,1111,28,2,0.469,5.1,0.115,93.09,0.066,2,0,16,1.6,5.3
TD-00112,inventory-worker,inventory-worker/handlers/api/exporter_4.py,Tier_2,Python,Supply Chain,legacy_hotspot,3543,89,121,64,44.23,2,33,72.24,1883,59,11,0.796,72.2,0.625,6.18,0.351,4,2,195,28.7,67.0
TD-00113,search-indexer,search-indexer/src/main/scala/engine/state_machine_16.scala,Tier_2,Scala,Search/Discovery,healthy_active,372,7,7,3,3.32,0,9,10.81,449,70,5,0.3,11.2,0.074,84.42,0.035,1,0,32,2.5,7.4
